County,Route,Special Case,County Sequence,Beginning Log Mile,Ending Log Mile,Log Mile Length,Year of Traffic,Annual Average Daily Traffic,Vehicle Miles Traveled,Design Hourly Volume Percent,Directional Distribution,Vehicle - Passenger Pickups,Vehicle - Single Unit Trucks,Vehicle - Multiple Unit Trucks,ID Number,Station Number,TN-TIMES ID,% Peak Single Unit,% Peak Multi Unit,OBJECTID,Shape__Length
Lauderdale,01490,0,1,0,2.696,2.696,2023,482,1299.472,10,65,97,2,1,4901490001,23,49000023,2.624,1.065,268,14222.8268534377
Lauderdale,01490,0,1,2.696,8.015,5.319,2023,941,5005.179,10,65,97,2,1,4901490001,18,49000018,2.624,1.065,269,28085.9907668999
Giles,00981,0,1,0,10.22,10.22,2023,594,6070.68,10,65,96,3,1,2800981001,45,28000045,2.624,1.065,270,54033.4719380831
Lincoln,SR110,0,1,15.894,18.98,3.086,2023,4422,13646.292,10,64,97,2,1,52SR110001,51,52000051,2.083,0.926,271,16329.2852129262
Lincoln,SR110,0,1,18.98,22.16,3.18,2023,4883,15527.94,8,65,96,2,2,52SR110001,44,52000044,2.201,2.947,272,16662.7934917067
Carroll,00891,0,1,0,3.13,3.13,2023,144,450.72,13,100,97,2,1,0900891001,114,09000114,2.624,1.065,273,16488.2601755704
Carroll,00891,0,1,3.13,3.9,0.77,2023,116,89.32,14,65,96,3,1,0900891001,26 @,03000026,2.624,1.065,274,4146.34413503339
Carroll,00892,0,1,0,1.79,1.79,2023,216,386.64,12,65,97,2,1,0900892001,130 @ ,39000130,2.624,1.065,275,9417.87733615327
Carroll,00894,0,1,0,4.48,4.48,2023,131,586.88,10,65,96,2,2,0900894001,12,09000012,2.624,1.065,276,23540.4292165059
Fayette,I0269,0,2,0.98,3.023,2.043,2023,22521,46010.403,11,64,84,4,12,24I0269002,1051@,79001051,3.927,6.195,277,10754.9905484959
