State,County,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle GVWR Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
"TN","Shelby County","9/1/2019","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",10,3,"DMV Snpashot (9/30/2019)",False
"TN","Shelby County","6/1/2020","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,6,"DMV Snpashot (6/30/2020)",False
"TN","Shelby County","3/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",9,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",12,15,"DMV Snapshot (9/30/2022)",False
"TN","Shelby County","6/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",9,14,"DMV Snpashot (6/30/2022)",False
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",13,16,"DMV Snapshot (12/31/2022)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",17,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","12/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",14,20,"DMV Snapshot (12/31/2023)",False
"TN","Shelby County","6/1/2024","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",15,22,"DMV Snapshot (6/30/2024)",False
"TN","Shelby County","9/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",15,19,"DMV Snapshot (9/30/2023)",False
"TN","Shelby County","3/1/2024","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",16,21,"DMV Snapshot (3/31/2024)",False
"TN","Shelby County","3/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",16,17,"DMV Snapshot (3/31/2023)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",13,23,"DMV Snapshot (9/30/2024)",True
"TN","Shelby County","6/1/2024","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",18,22,"DMV Snapshot (6/30/2024)",False
"TN","Shelby County","3/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",12,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","12/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",16,20,"DMV Snapshot (12/31/2023)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",22,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",13,15,"DMV Snapshot (9/30/2022)",False
